seed,block,offset,relx,obs,tree,direct,count
4,0,-6,-0.12118638352403,j2l4,-16874.825924763,-17296.933833194,15000
4,0,-6,-0.12118638352403,j3l2,-23412.295576385,-23450.84243913,15000
4,0,-3,-0.061186383524029,j2l4,-204.2744311324,-218.42039268675,15000
4,0,-3,-0.061186383524029,j3l2,-382.03028495639,-406.27045517052,15000
4,0,0,-0.0011863835240292,j2l4,-87.044113179399,-86.676371955984,15000
4,0,0,-0.0011863835240292,j3l2,134.95568997116,138.74176775018,15000
4,0,3,0.058813616475971,j2l4,15.419558599764,12.083296717912,15000
4,0,3,0.058813616475971,j3l2,19.238573232478,25.167072864373,15000
4,0,6,0.11881361647597,j2l4,-1.1987720665729,0.036883112551841,15000
4,0,6,0.11881361647597,j3l2,-22.605220412259,-25.856236015881,15000
4,1,-6,-0.12108040587417,j2l4,-897.4072829031,-1336.5103120853,15000
4,1,-6,-0.12108040587417,j3l2,-25871.926385865,-25386.9924732,15000
4,1,-3,-0.061080405874167,j2l4,-235.7207933403,-227.04297506496,15000
4,1,-3,-0.061080405874167,j3l2,-366.12336199939,-361.96403015106,15000
4,1,0,-0.0010804058741673,j2l4,-53.919651655519,-48.365797438454,15000
4,1,0,-0.0010804058741673,j3l2,92.984051439536,95.936304528731,15000
4,1,3,0.058919594125833,j2l4,-15.105705107756,-18.995609860918,15000
4,1,3,0.058919594125833,j3l2,6.6277486031032,4.4825538199922,15000
4,1,6,0.11891959412583,j2l4,-11.812019609539,-6.6172325804144,15000
4,1,6,0.11891959412583,j3l2,7.8560368647407,-8.1514675505399,15000
4,2,-6,-0.12284788590618,j2l4,-25495.439559704,-25775.431974122,15000
4,2,-6,-0.12284788590618,j3l2,-55276.395441304,-54073.702489164,15000
4,2,-3,-0.062847885906176,j2l4,-572.94790487645,-502.13655546101,15000
4,2,-3,-0.062847885906176,j3l2,-1745.9629962846,-1727.2670031591,15000
4,2,0,-0.0028478859061765,j2l4,-79.891806052549,-82.9854312061,15000
4,2,0,-0.0028478859061765,j3l2,116.06455677127,118.97762725806,15000
4,2,3,0.057152114093824,j2l4,-26.783396328559,-23.168425508953,15000
4,2,3,0.057152114093824,j3l2,-1.6106034648048,-0.31688557446188,15000
4,2,6,0.11715211409382,j2l4,24.074248675222,12.71502505951,15000
4,2,6,0.11715211409382,j3l2,-9.6490983490885,-10.960264238013,15000
4,3,-6,-0.12045347525714,j2l4,-8452.2112734062,-9476.4740180232,15000
4,3,-6,-0.12045347525714,j3l2,-27449.267615935,-27882.333288492,15000
4,3,-3,-0.060453475257138,j2l4,-373.45858156547,-401.46473358496,15000
4,3,-3,-0.060453475257138,j3l2,-2494.8906684474,-2551.7845129694,15000
4,3,0,-0.00045347525713843,j2l4,-54.89364854399,-48.90357572561,15000
4,3,0,-0.00045347525713843,j3l2,107.74015031139,104.30324725224,15000
4,3,3,0.059546524742862,j2l4,-58.127334906052,-59.463653627544,15000
4,3,3,0.059546524742862,j3l2,16.979236512788,9.9966383466316,15000
4,3,6,0.11954652474286,j2l4,-47.28456445033,-40.430058759986,15000
4,3,6,0.11954652474286,j3l2,-26.347996463248,-16.922759865259,15000
4,4,-6,-0.12290525495377,j2l4,-20302.109739044,-19071.529335759,15000
4,4,-6,-0.12290525495377,j3l2,-61369.345283379,-60186.233317327,15000
4,4,-3,-0.06290525495377,j2l4,-750.39540417147,-718.56008834472,15000
4,4,-3,-0.06290525495377,j3l2,-1389.6651913145,-1333.9100409144,15000
4,4,0,-0.0029052549537696,j2l4,-30.320937229996,-32.452154144042,15000
4,4,0,-0.0029052549537696,j3l2,104.96491847585,102.24331988211,15000
4,4,3,0.05709474504623,j2l4,-33.686185282358,-29.934423873993,15000
