seed,block,offset,relx,obs,tree,direct,count
2,0,-6,-0.11528360074913,j2l4,-12843.67959334,-12481.852330051,15000
2,0,-6,-0.11528360074913,j3l2,-18682.471001423,-18576.606786181,15000
2,0,-3,-0.055283600749128,j2l4,-221.66668981446,-251.35060921216,15000
2,0,-3,-0.055283600749128,j3l2,-287.64651415399,-323.02265687264,15000
2,0,0,0.0047163992508724,j2l4,-90.166426665206,-92.660641152596,15000
2,0,0,0.0047163992508724,j3l2,107.59972731862,110.08080856264,15000
2,0,3,0.064716399250872,j2l4,-30.55833147963,-29.144980103855,15000
2,0,3,0.064716399250872,j3l2,31.371150146607,29.013460428051,15000
2,0,6,0.12471639925087,j2l4,8.0287300070221,10.537949637319,15000
2,0,6,0.12471639925087,j3l2,7.5503560837404,7.491909211129,15000
2,1,-6,-0.12087001665978,j2l4,-11413.197645228,-11796.746420254,15000
2,1,-6,-0.12087001665978,j3l2,-28751.552771542,-29543.422654044,15000
2,1,-3,-0.060870016659778,j2l4,-139.45541612622,-137.30200546668,15000
2,1,-3,-0.060870016659778,j3l2,-369.41184553818,-361.64821824723,15000
2,1,0,-0.00087001665977839,j2l4,-88.229834055203,-92.756786364402,15000
2,1,0,-0.00087001665977839,j3l2,118.08517474978,118.22257752009,15000
2,1,3,0.059129983340222,j2l4,-86.047578306816,-83.819897135285,15000
2,1,3,0.059129983340222,j3l2,49.843125738035,50.783239137888,15000
2,1,6,0.11912998334022,j2l4,63.404569273032,58.607283032499,15000
2,1,6,0.11912998334022,j3l2,-109.86182200979,-124.25711760872,15000
2,2,-6,-0.11834925954693,j2l4,-7824.7657497858,-7765.5915003932,15000
2,2,-6,-0.11834925954693,j3l2,-22239.541786969,-22796.491963446,15000
2,2,-3,-0.058349259546929,j2l4,-93.87581842618,-104.31271696345,15000
2,2,-3,-0.058349259546929,j3l2,-347.056995711,-365.64000151804,15000
2,2,0,0.0016507404530708,j2l4,-80.419935618586,-83.101891860588,15000
2,2,0,0.0016507404530708,j3l2,117.73518185595,116.73730899344,15000
2,2,3,0.061650740453071,j2l4,-39.604427056103,-37.123723393872,15000
2,2,3,0.061650740453071,j3l2,14.962235963916,14.235875571885,15000
2,2,6,0.12165074045307,j2l4,-26.56268021653,-23.946577162793,15000
2,2,6,0.12165074045307,j3l2,-18.35420012221,-9.6068032847815,15000
2,3,-6,-0.11969986610916,j2l4,-5152.3466512354,-5302.9902016915,15000
2,3,-6,-0.11969986610916,j3l2,-18306.954205568,-18177.358963664,15000
2,3,-3,-0.059699866109163,j2l4,-344.12375429915,-358.23677796467,15000
2,3,-3,-0.059699866109163,j3l2,-436.91385843981,-460.92573390112,15000
2,3,0,0.00030013389083693,j2l4,-88.633534262601,-86.999746248659,15000
2,3,0,0.00030013389083693,j3l2,117.63521996946,117.66726905606,15000
2,3,3,0.060300133890837,j2l4,-45.793041451652,-45.906821965646,15000
2,3,3,0.060300133890837,j3l2,34.410292542557,28.551262707016,15000
2,3,6,0.12030013389084,j2l4,-44.001981983091,-52.229936218211,15000
2,3,6,0.12030013389084,j3l2,40.578432650802,34.460399897858,15000
2,4,-6,-0.12295441645667,j2l4,-45043.276980994,-46255.038208388,15000
2,4,-6,-0.12295441645667,j3l2,-90003.969405144,-90727.233143196,15000
2,4,-3,-0.062954416456668,j2l4,-1055.8979395684,-1006.8163189671,15000
2,4,-3,-0.062954416456668,j3l2,-1723.7055350048,-1663.9869728382,15000
2,4,0,-0.0029544164566681,j2l4,-104.01960969146,-101.4873599747,15000
2,4,0,-0.0029544164566681,j3l2,95.43873083491,94.795272472381,15000
2,4,3,0.057045583543332,j2l4,-69.319747146074,-62.852206511141,15000
2,4,3,0.057045583543332,j3l2,18.520248424641,45.142381863801,15000
2,4,6,0.11704558354333,j2l4,25.188075340145,22.074091616985,15000
2,4,6,0.11704558354333,j3l2,-60.255843202251,-61.023512533275,15000
2,5,-6,-0.12503993383783,j2l4,-10599.474194504,-11518.089222906,15000
2,5,-6,-0.12503993383783,j3l2,-55456.720623416,-57439.623835576,15000
2,5,-3,-0.065039933837825,j2l4,-1073.3308560319,-1017.0391493671,15000
2,5,-3,-0.065039933837825,j3l2,-1792.7504542874,-1752.963806155,15000
2,5,0,-0.0050399338378254,j2l4,-106.66902921682,-109.95213041614,15000
2,5,0,-0.0050399338378254,j3l2,118.19359023896,118.32784183586,15000
2,5,3,0.054960066162175,j2l4,-36.111217414859,-16.430949874007,15000
2,5,3,0.054960066162175,j3l2,40.673019700155,49.501197152124,15000
2,5,6,0.11496006616217,j2l4,22.224083956483,25.554381946753,15000
2,5,6,0.11496006616217,j3l2,40.188758255859,38.593241212813,15000
2,6,-6,-0.1184837978861,j2l4,-10842.773070068,-11628.885534793,15000
2,6,-6,-0.1184837978861,j3l2,-29571.328985831,-29716.144302734,15000
