seed,block,offset,relx,obs,tree,direct,count
1,0,-6,-0.11861434444835,j2l4,-22436.164167071,-22375.479571166,15000
1,0,-6,-0.11861434444835,j3l2,-27723.987116978,-27459.71494114,15000
1,0,-3,-0.058614344448354,j2l4,-394.01737299424,-352.0443816814,15000
1,0,-3,-0.058614344448354,j3l2,-509.70723723955,-492.07885768549,15000
1,0,0,0.001385655551646,j2l4,-68.385386041172,-72.215998341717,15000
1,0,0,0.001385655551646,j3l2,129.99783814227,128.21052446515,15000
1,0,3,0.061385655551646,j2l4,-179.94258115657,-263.99240394741,15000
1,0,3,0.061385655551646,j3l2,352.66753866463,432.14562073065,15000
1,0,6,0.12138565555165,j2l4,37.294190001803,21.540892486963,15000
1,0,6,0.12138565555165,j3l2,-14.835974608976,-16.347895710783,15000
1,1,-6,-0.11635512563538,j2l4,-21363.003760215,-21686.488689855,15000
1,1,-6,-0.11635512563538,j3l2,-33837.038148952,-34083.346097753,15000
1,1,-3,-0.056355125635385,j2l4,-232.77794224177,-235.39012149859,15000
1,1,-3,-0.056355125635385,j3l2,-303.80158670214,-305.27732518496,15000
1,1,0,0.0036448743646154,j2l4,-67.687578854766,-61.644031670727,15000
1,1,0,0.0036448743646154,j3l2,83.445501076212,89.984112316264,15000
1,1,3,0.063644874364615,j2l4,-117.64991793181,-98.783511708514,15000
1,1,3,0.063644874364615,j3l2,187.90220613064,178.21614231668,15000
1,1,6,0.12364487436462,j2l4,-32.201368195513,-43.097261849675,15000
1,1,6,0.12364487436462,j3l2,-21.881278130468,-16.199543226129,15000
1,2,-6,-0.11759571165837,j2l4,-13152.953368612,-13306.054975573,15000
1,2,-6,-0.11759571165837,j3l2,-23290.128081992,-23300.733889896,15000
1,2,-3,-0.057595711658372,j2l4,-353.14698924801,-361.29114822642,15000
1,2,-3,-0.057595711658372,j3l2,-481.91960949089,-490.61313329033,15000
1,2,0,0.0024042883416276,j2l4,-117.03316117173,-113.56495670789,15000
1,2,0,0.0024042883416276,j3l2,135.2791597371,130.63004709495,15000
1,2,3,0.062404288341628,j2l4,-25.124767438733,-22.214295588884,15000
1,2,3,0.062404288341628,j3l2,25.085769110515,17.938056383209,15000
1,2,6,0.12240428834163,j2l4,-48.256665184381,-45.295866765735,15000
1,2,6,0.12240428834163,j3l2,10.182566255204,10.863189932027,15000
1,3,-6,-0.11672970756805,j2l4,-34610.028980828,-34907.00392888,15000
1,3,-6,-0.11672970756805,j3l2,-52480.183156161,-52736.274080662,15000
1,3,-3,-0.056729707568052,j2l4,-405.93326719903,-436.27462293795,15000
1,3,-3,-0.056729707568052,j3l2,-513.15678960825,-536.61240952227,15000
1,3,0,0.0032702924319477,j2l4,-93.670006327947,-99.241861216226,15000
1,3,0,0.0032702924319477,j3l2,118.73404356371,121.03144260464,15000
1,3,3,0.063270292431948,j2l4,-56.372312071205,-51.327466292741,15000
1,3,3,0.063270292431948,j3l2,18.311939620021,22.129790429024,15000
1,3,6,0.12327029243195,j2l4,-26.315253031318,-19.181439867035,15000
1,3,6,0.12327029243195,j3l2,-5.2618861551709,-2.542477776087,15000
1,4,-6,-0.11894814636111,j2l4,-22571.499483325,-22944.469639856,15000
1,4,-6,-0.11894814636111,j3l2,-35614.39645295,-35579.191760507,15000
1,4,-3,-0.058948146361114,j2l4,-185.56726931411,-178.77424468394,15000
1,4,-3,-0.058948146361114,j3l2,-228.37343270697,-241.25392590642,15000
