seed,block,offset,relx,obs,tree,direct,count
3,0,-6,-0.11952007861927,j2l4,-9023.090663133,-9299.7557705956,15000
3,0,-6,-0.11952007861927,j3l2,-39278.165160649,-39143.40125285,15000
3,0,-3,-0.05952007861927,j2l4,11.238108430184,-52.035294830579,15000
3,0,-3,-0.05952007861927,j3l2,-558.25761730262,-612.7307039308,15000
3,0,0,0.00047992138073036,j2l4,-31.777810306364,-32.130177420772,15000
3,0,0,0.00047992138073036,j3l2,127.47056443677,130.21750397301,15000
3,0,3,0.06047992138073,j2l4,35.09274466672,26.77259376745,15000
3,0,3,0.06047992138073,j3l2,-39.764329098988,-36.059712781482,15000
3,0,6,0.12047992138073,j2l4,14.807140913214,15.510535663009,15000
3,0,6,0.12047992138073,j3l2,3.7894698466915,5.4840671812183,15000
3,1,-6,-0.11948169599283,j2l4,-8235.9219699024,-7813.6829872652,15000
3,1,-6,-0.11948169599283,j3l2,-26820.709941542,-26425.582530616,15000
3,1,-3,-0.059481695992833,j2l4,-821.97818699422,-828.11981754925,15000
3,1,-3,-0.059481695992833,j3l2,-854.38427538298,-829.20863004074,15000
3,1,0,0.00051830400716651,j2l4,-92.155928266769,-95.321332110998,15000
3,1,0,0.00051830400716651,j3l2,87.754610803359,86.719163980145,15000
3,1,3,0.060518304007167,j2l4,-63.131273492996,-55.311472959575,15000
3,1,3,0.060518304007167,j3l2,-3.5585379927688,6.128151120008,15000
3,1,6,0.12051830400717,j2l4,-1.492965991856,-4.5459874598362,15000
3,1,6,0.12051830400717,j3l2,-52.305937404079,-50.707058149519,15000
3,2,-6,-0.1157536098144,j2l4,-13775.954127333,-14999.776129742,15000
3,2,-6,-0.1157536098144,j3l2,-28610.466835379,-29573.450030874,15000
3,2,-3,-0.0557536098144,j2l4,9.8539754481542,16.313173266085,15000
3,2,-3,-0.0557536098144,j3l2,-133.18165623682,-149.25682179355,15000
3,2,0,0.0042463901855998,j2l4,-64.710191773774,-63.923052817396,15000
3,2,0,0.0042463901855998,j3l2,121.67990352948,123.25938833986,15000
3,2,3,0.0642463901856,j2l4,-17.024936663721,-11.298971841598,15000
3,2,3,0.0642463901856,j3l2,31.415479571936,27.887515318383,15000
3,2,6,0.1242463901856,j2l4,-10.792481488678,-11.94075288811,15000
3,2,6,0.1242463901856,j3l2,-7.4939385359766,-8.4693423199897,15000
3,3,-6,-0.11914860029837,j2l4,-5992.8754884754,-6127.53985372,15000
3,3,-6,-0.11914860029837,j3l2,-26859.604862442,-27847.180916043,15000
3,3,-3,-0.059148600298369,j2l4,-198.64099670867,-205.3773135775,15000
3,3,-3,-0.059148600298369,j3l2,-990.56457374777,-950.39387766131,15000
3,3,0,0.00085139970163053,j2l4,-94.250418567401,-94.560589354114,15000
3,3,0,0.00085139970163053,j3l2,136.1715732193,138.25118540402,15000
3,3,3,0.060851399701631,j2l4,-52.911710021713,-56.528014691032,15000
3,3,3,0.060851399701631,j3l2,13.852756815314,15.546405522836,15000
3,3,6,0.12085139970163,j2l4,33.469264530752,35.422201075771,15000
3,3,6,0.12085139970163,j3l2,2.2729372723556,2.7187407341277,15000
3,4,-6,-0.11770714159276,j2l4,2752.3607855384,3956.0673845555,15000
3,4,-6,-0.11770714159276,j3l2,-27789.103027214,-27258.531424581,15000
3,4,-3,-0.057707141592765,j2l4,-151.64405208085,-157.45400600204,15000
3,4,-3,-0.057707141592765,j3l2,-180.96680605996,-161.85703886263,15000
3,4,0,0.0022928584072355,j2l4,-139.69536514381,-139.23791856459,15000
3,4,0,0.0022928584072355,j3l2,92.18343702444,93.040990228215,15000
3,4,3,0.062292858407235,j2l4,-152.80103355976,-148.40924603435,15000
3,4,3,0.062292858407235,j3l2,24.361640965579,27.364212490232,15000
3,4,6,0.12229285840724,j2l4,-20.440491178433,-21.447137584219,15000
3,4,6,0.12229285840724,j3l2,9.3832864716077,3.9749698591498,15000
3,5,-6,-0.12292083041186,j2l4,-41380.095500403,-40626.885129752,15000
3,5,-6,-0.12292083041186,j3l2,-81111.268446691,-83696.61740825,15000
3,5,-3,-0.062920830411857,j2l4,-712.9636284937,-727.16381794121,15000
3,5,-3,-0.062920830411857,j3l2,-1170.5298403992,-1169.0691951415,15000
3,5,0,-0.0029208304118573,j2l4,-72.517023385846,-71.808281676826,15000
3,5,0,-0.0029208304118573,j3l2,129.95351414628,129.04875176898,15000
3,5,3,0.057079169588143,j2l4,17.515828349429,18.483960664595,15000
3,5,3,0.057079169588143,j3l2,22.951946126541,20.967514653387,15000
3,5,6,0.11707916958814,j2l4,33.630050881637,36.212622587955,15000
3,5,6,0.11707916958814,j3l2,-5.1925434282997,-6.0488109312516,15000
3,6,-6,-0.12061695501407,j2l4,-9236.8099536444,-9135.9140294776,15000
3,6,-6,-0.12061695501407,j3l2,-13874.976522542,-13698.812138887,15000
3,6,-3,-0.060616955014068,j2l4,-210.48837050013,-198.64859842506,15000
3,6,-3,-0.060616955014068,j3l2,-469.92626983326,-458.18187819075,15000
3,6,0,-0.00061695501406836,j2l4,-65.511655220918,-69.471171461037,15000
3,6,0,-0.00061695501406836,j3l2,81.364786436036,81.946580857887,15000
3,6,3,0.059383044985932,j2l4,-119.03945554192,-130.50540361269,15000
3,6,3,0.059383044985932,j3l2,-42.698788050081,-46.658886748407,15000
3,6,6,0.11938304498593,j2l4,-41.687632219798,-36.121436781599,15000
3,6,6,0.11938304498593,j3l2,58.114982333252,56.480371641932,15000
3,7,-6,-0.12365609888472,j2l4,-26908.784945677,-28749.491858036,15000
3,7,-6,-0.12365609888472,j3l2,-41281.459126686,-43377.468372407,15000
3,7,-3,-0.063656098884717,j2l4,-123.19642423846,-136.04919681229,15000
3,7,-3,-0.063656098884717,j3l2,-742.69728258032,-747.11047002426,15000
3,7,0,-0.0036560988847171,j2l4,-69.200624994666,-72.628293346739,15000
3,7,0,-0.0036560988847171,j3l2,107.58540414934,108.09934605263,15000
3,7,3,0.056343901115283,j2l4,17.827234674813,25.099501631108,15000
3,7,3,0.056343901115283,j3l2,52.368976936995,52.918008640659,15000
3,7,6,0.11634390111528,j2l4,-11.228055005618,-12.552132982502,15000
3,7,6,0.11634390111528,j3l2,51.622667790507,40.791323797802,15000
