offset,obs,relx,tree,direct,tree_se,direct_se,difference,difference_se,n_blocks,paired_z
-6,j2l4,-0.12031558508826287,-15259.57885785212,-15283.65687770784,1400.049727974132,1419.5920399881727,-24.078019855718907,74.34658397758562,80,-0.3238618180894238
-6,j3l2,-0.12031558508826287,-33323.276311028276,-33384.52666353223,1740.3069687025074,1765.9925358995142,-61.25035250395486,85.74984268053171,80,-0.7142911355785015
-3,j2l4,-0.06031558508826303,-336.93997991337693,-337.0613522272299,46.84413980882374,46.04787541280091,-0.12137231385299133,3.8551933023662412,80,-0.03148280885902541
-3,j3l2,-0.06031558508826303,-623.2643157777691,-624.1272750228724,57.88453726861856,56.804653304951636,-0.8629592451032202,4.042107161659271,80,-0.213492421301611
0,j2l4,-0.00031558508826312875,-80.98993067399707,-81.10383840719683,2.740987853748152,2.8385720438865873,-0.11390773319977505,0.554089032344913,80,-0.20557658887005187
0,j3l2,-0.00031558508826312875,113.90821006259819,114.07844129566146,2.5119557992983648,2.6416122566002804,0.1702312330632785,0.4594395001779996,80,0.3705193676149443
3,j2l4,0.05968441491173697,-44.02970136872642,-44.25478157296528,4.910745277151091,5.264466628774736,-0.22508020423885822,1.2573552852518046,80,-0.17901082285885683
3,j3l2,0.05968441491173697,23.956799819765948,24.807289008027073,6.230148495229659,6.780947050256582,0.8504891882611227,1.1778158069523408,80,0.722090146218879
6,j2l4,0.11968441491173713,-6.895074891348448,-7.4014402633201755,5.469163229038745,5.347361509408475,-0.5063653719717283,0.8411398676114258,80,-0.6019990152287604
6,j3l2,0.11968441491173713,-4.849763459077381,-3.7403512653659967,4.678998732820827,4.5627744990936225,1.109412193711384,0.8534670424196025,80,1.299888734503643
